
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set BEARING_ARC and time  0.5000000E-02

        32 -5.788891E-01 -1.091683E-10 -6.511228E-17
        33 -2.120821E-01  2.963295E-11  1.796288E-17
        34 -1.553963E-01  2.722773E-12  2.953386E-18
        35 -1.263786E-01  5.565221E-13 -1.178996E-17
        36 -1.063137E-01  4.262352E-13 -2.258831E-17
        37 -9.242677E-02  3.954069E-13  8.325209E-18
        38 -8.040104E-02  2.568692E-13  8.058152E-18
        39 -7.365179E-02  2.489193E-13  1.331700E-17
        40 -6.919130E-02  1.527709E-13 -4.002283E-17
        41 -6.626346E-02  3.646017E-14  8.269126E-19
        42 -6.744276E-02 -5.457032E-14  5.840259E-18
        43 -6.774265E-02 -1.282269E-13  2.702230E-18
        44 -7.543950E-02 -2.064090E-13 -1.106993E-17
        45 -8.163637E-02 -3.159421E-13  3.881088E-17
        46 -8.913653E-02 -3.330706E-13  2.098062E-17
        47 -1.058001E-01 -4.183274E-13  2.143493E-17
        48 -1.221151E-01 -9.261304E-13 -1.486079E-17
        49 -1.594485E-01 -4.229319E-12  4.575751E-17
        50 -2.113638E-01 -2.149902E-11 -2.323867E-17
        51 -5.838789E-01  1.572018E-10  4.505355E-19

 total force (fx,fy,fz) for set BEARING_ARC and time  0.5000000E-02

       -3.124998E+00  5.435139E-11 -1.262256E-18

 forces (fx,fy,fz) for set FIXED_RIGHT_EDGE and time  0.5000000E-02

         3  1.329571E-01 -4.528215E-02 -8.098431E-17
         5  1.325031E-01  4.501308E-02  7.368602E-17
       201  1.788009E-01 -3.325060E-02  6.941164E-17
       202  1.647526E-01 -2.613624E-02  9.739645E-17
       203  1.593660E-01 -2.053428E-02 -5.212924E-17
       204  1.566710E-01 -1.714626E-02  1.246042E-16
       205  1.550820E-01 -1.348413E-02  9.920637E-17
       206  1.542126E-01 -1.108025E-02  1.521121E-16
       207  1.539873E-01 -6.123274E-03 -1.613479E-17
       208  1.537149E-01 -5.110412E-03 -3.759069E-19
       209  1.533518E-01 -1.173348E-03  3.187817E-17
       210  1.533676E-01  1.286117E-03  1.695512E-16
       211  1.533683E-01  4.223514E-03  5.507384E-17
       212  1.542053E-01  7.338553E-03  1.277309E-16
       213  1.538193E-01  9.931834E-03  1.686919E-16
       214  1.553345E-01  1.502546E-02  1.048021E-16
       215  1.569027E-01  1.670076E-02  6.953047E-17
       216  1.588806E-01  1.974180E-02 -1.832596E-17
       217  1.645436E-01  2.671515E-02  8.711308E-18
       218  1.791773E-01  3.334468E-02  1.070835E-16

 total force (fx,fy,fz) for set FIXED_RIGHT_EDGE and time  0.5000000E-02

        3.124998E+00 -3.002043E-13  1.291520E-15

                                INCREMENT     2


 forces (fx,fy,fz) for set BEARING_ARC and time  0.1000000E-01

        32 -9.899316E-01 -2.145081E-08 -1.191528E-16
        33 -5.110191E-01 -1.786978E-08  3.175500E-17
        34 -3.205652E-01 -8.342416E-13  5.154786E-17
        35 -2.618127E-01 -1.628748E-13 -2.250196E-18
        36 -2.201961E-01 -1.237079E-14 -3.631706E-17
        37 -1.913644E-01 -1.002772E-14  1.883576E-18
        38 -1.661337E-01  2.973194E-14 -2.145041E-17
        39 -1.521568E-01  1.347435E-14 -5.174070E-17
        40 -1.428937E-01  1.185860E-14 -8.072290E-19
        41 -1.367503E-01 -5.000440E-15 -1.142193E-17
        42 -1.392247E-01 -1.474361E-14 -4.850279E-17
        43 -1.397152E-01  1.713404E-14 -1.394116E-17
        44 -1.557289E-01 -6.139617E-14  9.633114E-18
        45 -1.685381E-01  3.636623E-14  7.132582E-18
        46 -1.837350E-01 -3.230116E-14 -4.467167E-17
        47 -2.186180E-01  3.328824E-14  1.484678E-17
        48 -2.516459E-01  1.201412E-14 -1.071830E-17
        49 -3.317341E-01 -2.654813E-13  6.102354E-17
        50 -4.984146E-01  3.725423E-08 -3.583329E-17
        51 -1.014994E+00  2.937890E-08 -4.975715E-17

 total force (fx,fy,fz) for set BEARING_ARC and time  0.1000000E-01

