
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set MIDSPAN_TOP_LOAD_LINE and time  0.5000000E-02

       521  5.442633E-13  2.846666E-12  1.711686E-02
       522 -5.400901E-15 -5.821758E-12 -5.941520E-03
       523 -6.604448E-14  3.226097E-12 -7.093482E-03
       524  3.907260E-13  1.845195E-12 -1.528733E-02
       525 -1.104915E-13  8.003640E-13 -2.957310E-02
       526  3.278878E-13  9.442290E-10 -5.691228E-02
       527  7.586360E-14  1.205175E-11 -9.527297E-01
       528  7.895071E-14 -9.453286E-10 -7.080421E-02
       529  1.288516E-13  3.119346E-12 -3.258564E-02
       530  8.931879E-14 -7.118294E-12 -1.813696E-02
       531  9.170491E-14  6.417824E-12 -1.071463E-02
       532  2.755810E-13 -5.768053E-12 -1.749402E-02
       533  2.545744E-13  3.325424E-12  1.645962E-02

 total force (fx,fy,fz) for set MIDSPAN_TOP_LOAD_LINE and time  0.5000000E-02

        2.075785E-12  1.382497E-11 -1.183696E+00

 forces (fx,fy,fz) for set LEFT_SUPPORT and time  0.5000000E-02

         1 -4.633248E-14  5.992583E-04  8.687111E-04
         2 -4.721986E-13 -1.177616E-03  1.599061E-04
         3 -5.835619E-14 -2.360341E-03  1.479473E-05
         4  3.041397E-13 -3.547373E-03  7.020280E-06
         5  1.091969E-13 -4.742763E-03  9.456862E-06
         6  1.846337E-11 -5.930490E-03 -6.889110E-05
         7  1.804225E-09  4.481820E-04  1.501034E-02
         8  1.856687E-11  6.071008E-03  8.104958E-05
         9  3.459433E-13  4.875175E-03  3.934962E-07
        10 -1.917643E-13  3.651548E-03  1.256452E-06
        11 -3.705907E-13  2.433522E-03 -7.275057E-06
        12  2.479209E-13  1.211984E-03 -1.693905E-04
        13  2.407453E-13 -6.240018E-04 -8.172253E-04
      1054 -2.682161E-13 -6.181875E-04  2.486155E-04
      1055 -2.358463E-13  1.183175E-03  4.790214E-05
      1056  5.387937E-13  2.375370E-03  2.515958E-06
      1057  3.040944E-13  3.570512E-03 -1.551627E-06
      1058  8.336507E-14  4.764499E-03 -3.220432E-06
      1059  1.311146E-11  5.972690E-03  2.286977E-05
      1060  1.165540E-10 -2.361241E-05  1.449427E-02
      1061  1.224485E-11 -6.064442E-03 -2.258712E-05
      1062  3.463259E-13 -4.845456E-03  5.245410E-06
      1063  2.933852E-13 -3.647123E-03  4.858385E-06
      1064  5.634619E-13 -2.437837E-03  1.683200E-06
      1065 -7.772936E-14 -1.226502E-03 -4.842915E-05
      1066 -7.710148E-14  6.304971E-04 -2.131544E-04
      2107  3.369979E-11  7.968146E-05  3.184512E-02
      2108 -4.197771E-14 -4.892670E-05  3.423612E-02
      2109 -6.144333E-15 -1.859615E-05  3.627867E-02
      2110  4.733514E-14 -4.920503E-05  3.794595E-02
      2111 -1.793528E-13 -5.009671E-05  3.924448E-02
      2112  1.320454E-13 -5.937028E-05  4.017249E-02
      2113  2.887169E-14 -6.162387E-05  4.073098E-02
      2114 -1.058867E-13 -6.326306E-05  4.092026E-02
      2115 -8.125762E-14 -6.202234E-05  4.074092E-02
      2116 -4.032598E-13 -5.804688E-05  4.019360E-02
      2117  3.450367E-14 -5.296583E-05  3.927878E-02
      2118  4.261462E-13 -4.158032E-05  3.799779E-02
      2119  6.356920E-14 -3.556014E-05  3.634916E-02
      2120 -2.406074E-13 -7.145960E-06  3.434026E-02
      2121  8.665641E-10 -1.295323E-05  3.194444E-02

 total force (fx,fy,fz) for set LEFT_SUPPORT and time  0.5000000E-02

